# Lines starting with "#" are ignored
#
#  LSSS species  Nation  Platform  BEI species
#
          0        58       19       0 Utolkede data (raadata)
          1        58       19       1 Andre sorter
          2        58       19       2 Bunnfisk
          3        58       19       3 Pelagisk fisk
          4        58       19       4 Maneter
          5        58       19       5 Reker
          6        58       19       6 Plankton
          7        58       19       7 Lysprikkfisk
          8        58       19       8 Polartorsk
          9        58       19       9 II-Sild
         10        58       19      10 I-Sild
         11        58       19      11 0-Sild
         12        58       19      12 Sild
         13        58       19      13 II-Lodde
         14        58       19      14 I-Lodde
         15        58       19      15 0-Lodde
         16        58       19      16 Lodde
         17        58       19      17 0-gruppe blandet
         18        58       19      18 Hvitting
         19        58       19      19 Lyr
         20        58       19      20 Brisling
         21        58       19      21 Makrell
         22        58       19      22 Sei
         23        58       19      23 Vassild
         24        58       19      24 Kolmule
         25        58       19      25 Brosme
         26        58       19      26 Lange
         27        58       19      27 Sil
         28        58       19      28 Oeyepaal
         29        58       19      29 Uer
         30        58       19      30 Hyse
         31        58       19      31 Torsk
         32        58       19      32 0-Uer
         33        58       19      33 0-Polartorsk
         40        58       19      40
         41        58       19      41 Hyse, Torsk
         42        58       19      42 Vassild, Kolmule
         43        58       19      43 Andre sorter, Lodde
         44        58       19      44 Pelagisk fisk, Plankton
         45        58       19      45 Andre sorter, Plankton
         46        58       19      46 Plankton, 0-Sild, 0-Lodde
         47        58       19      47 Uer, Hyse, Torsk
         48        58       19      48 Lodde, Kolmule
         49        58       19      49 Lysprikkfisk, Kolmule
         50        58       19      50 Kolmule, Uer
         51        58       19      51 Andre sorte, 0-Sild, Sild
         52        58       19      52 Bunnfisk
         53        58       19      53 Sild, Brisling
         54        58       19      54 Plankton, Lysprikkfisk
         55        58       19      55 Andre sorter, Bunnfisk
         56        58       19      56 Hvitting, Brosme, Sil
         57        58       19      57 Plankton, 0-gruppe blandet
         58        58       19      58 I-Sild, 0-Sild
         59        58       19      59 II-Lodde, I-Lodde
         60        58       19      60 Andre sorter, II-Sild
         61        58       19      61 0-Sild, Brisling
         62        58       19      62 Bunnfisk, Oeyepaal, Torsk
         63        58       19      63 Bunnfisk, Hyse, Torsk
         64        58       19      64 Pelagisk fisk, Lysprikkfisk
         65        58       19      65
         66        58       19      66 Andre sorter, Uer
         67        58       19      67 Maneter, Reker, Plankton, Lysprikk
         68        58       19      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       19      69 Makrell, Sei
       5002        58       19      70 Skolest
       5006        58       19      71 Vassild, Skolest
          0        58       90       0 Utolkede data (raadata)
          1        58       90       1 Andre sorter
          2        58       90       2 Bunnfisk
          3        58       90       3 Pelagisk fisk
          4        58       90       4 Maneter
          5        58       90       5 Reker
          6        58       90       6 Plankton
          7        58       90       7 Lysprikkfisk
          8        58       90       8 Polartorsk
          9        58       90       9 II-Sild
         10        58       90      10 I-Sild
         11        58       90      11 0-Sild
         12        58       90      12 Sild
         13        58       90      13 II-Lodde
         14        58       90      14 I-Lodde
         15        58       90      15 0-Lodde
         16        58       90      16 Lodde
         17        58       90      17 0-gruppe blandet
         18        58       90      18 Hvitting
         19        58       90      19 Lyr
         20        58       90      20 Brisling
         21        58       90      21 Makrell
         22        58       90      22 Sei
         23        58       90      23 Vassild
         24        58       90      24 Kolmule
         25        58       90      25 Brosme
         26        58       90      26 Lange
         27        58       90      27 Sil
         28        58       90      28 Oeyepaal
         29        58       90      29 Uer
         30        58       90      30 Hyse
         31        58       90      31 Torsk
         32        58       90      32 0-Uer
         33        58       90      33 0-Polartorsk
         40        58       90      40
         41        58       90      41 Hyse, Torsk
         42        58       90      42 Vassild, Kolmule
         43        58       90      43 Andre sorter, Lodde
         44        58       90      44 Pelagisk fisk, Plankton
         45        58       90      45 Andre sorter, Plankton
         46        58       90      46 Plankton, 0-Sild, 0-Lodde
         47        58       90      47 Uer, Hyse, Torsk
         48        58       90      48 Lodde, Kolmule
         49        58       90      49 Lysprikkfisk, Kolmule
         50        58       90      50 Kolmule, Uer
         51        58       90      51 Andre sorte, 0-Sild, Sild
         52        58       90      52 Bunnfisk
         53        58       90      53 Sild, Brisling
         54        58       90      54 Plankton, Lysprikkfisk
         55        58       90      55 Andre sorter, Bunnfisk
         56        58       90      56 Hvitting, Brosme, Sil
         57        58       90      57 Plankton, 0-gruppe blandet
         58        58       90      58 I-Sild, 0-Sild
         59        58       90      59 II-Lodde, I-Lodde
         60        58       90      60 Andre sorter, II-Sild
         61        58       90      61 0-Sild, Brisling
         62        58       90      62 Bunnfisk, Oeyepaal, Torsk
         63        58       90      63 Bunnfisk, Hyse, Torsk
         64        58       90      64 Pelagisk fisk, Lysprikkfisk
         65        58       90      65
         66        58       90      66 Andre sorter, Uer
         67        58       90      67 Maneter, Reker, Plankton, Lysprikk
         68        58       90      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       90      69 Makrell, Sei
          0        58       91       0 Utolkede data (raadata)
          1        58       91       1 Andre sorter
          2        58       91       2 Bunnfisk
          3        58       91       3 Pelagisk fisk
          4        58       91       4 Maneter
          5        58       91       5 Reker
          6        58       91       6 Plankton
          7        58       91       7 Lysprikkfisk
          8        58       91       8 Polartorsk
          9        58       91       9 II-Sild
         10        58       91      10 I-Sild
         11        58       91      11 0-Sild
         12        58       91      12 Sild
         13        58       91      13 II-Lodde
         14        58       91      14 I-Lodde
         15        58       91      15 0-Lodde
         16        58       91      16 Lodde
         17        58       91      17 0-gruppe blandet
         18        58       91      18 Hvitting
         19        58       91      19 Lyr
         20        58       91      20 Brisling
         21        58       91      21 Makrell
         22        58       91      22 Sei
         23        58       91      23 Vassild
         24        58       91      24 Kolmule
         25        58       91      25 Brosme
         26        58       91      26 Lange
         27        58       91      27 Sil
         28        58       91      28 Oeyepaal
         29        58       91      29 Uer
         30        58       91      30 Hyse
         31        58       91      31 Torsk
         32        58       91      32 0-Uer
         33        58       91      33 0-Polartorsk
         40        58       91      40
         40        58       91      40
         41        58       91      41 Hyse, Torsk
         42        58       91      42 Vassild, Kolmule
         43        58       91      43 Andre sorter, Lodde
         44        58       91      44 Pelagisk fisk, Plankton
         45        58       91      45 Andre sorter, Plankton
         46        58       91      46 Plankton, 0-Sild, 0-Lodde
         47        58       91      47 Uer, Hyse, Torsk
         48        58       91      48 Lodde, Kolmule
         49        58       91      49 Lysprikkfisk, Kolmule
         50        58       91      50 Kolmule, Uer
         51        58       91      51 Andre sorte, 0-Sild, Sild
         52        58       91      52 Bunnfisk
         53        58       91      53 Sild, Brisling
         54        58       91      54 Plankton, Lysprikkfisk
         55        58       91      55 Andre sorter, Bunnfisk
         56        58       91      56 Hvitting, Brosme, Sil
         57        58       91      57 Plankton, 0-gruppe blandet
         58        58       91      58 I-Sild, 0-Sild
         59        58       91      59 II-Lodde, I-Lodde
         60        58       91      60 Andre sorter, II-Sild
         61        58       91      61 0-Sild, Brisling
         62        58       91      62 Bunnfisk, Oeyepaal, Torsk
         63        58       91      63 Bunnfisk, Hyse, Torsk
         64        58       91      64 Pelagisk fisk, Lysprikkfisk
         65        58       91      65
         66        58       91      66 Andre sorter, Uer
         67        58       91      67 Maneter, Reker, Plankton, Lysprikk
         68        58       91      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58       91      69 Makrell, Sei
       5039        58       91      70 Taggmakrell
       5037        58       91      71 Laksesild
       5034        58       91      72 Stroemsild
       5035        58       91      73 Vassild/Stroemsild
       5036        58       91      74 Mesopelagisk fisk
          0        58       92       0 Utolkede data (raadata)
          1        58       92       1 Andre sorter
